DATE,DS (DOBSON),
8/12/2022,285.4,262.6
8/15/2022,257,
8/16/2022,284.3,238.8
8/17/2022,249.9,
8/18/2022,275.3,
8/19/2022,279.4,
8/22/2022,259.8,
8/23/2022,253.9,
8/24/2022,223.1,257.5
8/25/2022,256.2,
8/26/2022,274.1,214.2
8/29/2022,269,257.5
8/30/2022,281.6,220.8
8/31/2022,256.4,
9/14/2022,257.9,
9/15/2022,257.1,
9/16/2022,273.2,257.8
9/19/2022,273.4,
9/20/2022,269.7,
9/21/2022,273.7,212.5
9/22/2022,268,245.5
9/23/2022,272.5,256.8
9/26/2022,268.2,240
9/27/2022,292.2,
9/28/2022,274.4,
9/29/2022,286.9,
9/30/2022,276.1,257.8
10/3/2022,301.8,
10/4/2022,280.9,236.1
10/5/2022,284.1,257.5
10/6/2022,284,263.6
10/7/2022,296.5,
10/11/2022,290.5,225.8
10/12/2022,287.1,
10/13/2022,311.8,
10/14/2022,290.8,
10/17/2022,281.3,
10/18/2022,292.1,217.7
10/19/2022,292.4,229.5
10/21/2022,310.5,
10/24/2022,279.7,
10/25/2022,290.7,
10/26/2022,287,
10/27/2022,268.8,257.7
10/28/2022,276.5,261.6
10/31/2022,255.7,
11/1/2022,255.7,
11/2/2022,264.2,259.9
11/3/2022,258,
11/4/2022,260.8,252.6
11/7/2022,275.2,259.6
11/9/2022,262.4,
11/11/2022,274.2,258.4
11/14/2022,256.5,
11/15/2022,252.3,
11/16/2022,256.1,
11/17/2022,272.5,
11/21/2022,272.5,
11/22/2022,258.4,
11/23/2022,266.6,258.5
11/24/2022,253.6,
11/25/2022,266.2,254.7
11/28/2022,249.3,
11/29/2022,268.7,
11/30/2022,276,
12/1/2022,314.2,
12/2/2022,263.6,
12/5/2022,263.4,
12/6/2022,283.9,
12/7/2022,277,258.3
12/8/2022,262.6,276
12/9/2022,270,
12/13/2022,267.3,259.4
12/14/2022,264.9,
12/15/2022,262.9,
12/16/2022,269.5,
12/19/2022,267.1,
12/20/2022,267.5,
12/21/2022,271.4,
12/22/2022,281.5,266
12/23/2022,269.8,264.9
12/27/2022,264.6,
12/28/2022,258,251.2
12/29/2022,265.1,265.2
12/30/2022,266.7,261.2
1/4/2023,262.5,266
1/5/2023,266.6,286.2
1/9/2023,262.7,257.8
1/17/2023,247.6,244.3
1/23/2023,251.3,241.9
1/24/2023,246.8,244.1
1/25/2023,249.7,
1/26/2023,248.4,
1/27/2023,249.3,
1/30/2023,257.2,
1/31/2023,250.2,
2/1/2023,250.7,
2/2/2023,250.5,
2/3/2023,249,
2/6/2023,256.5,
2/7/2023,252.5,
2/8/2023,251.3,
2/9/2023,253.2,
2/10/2023,251.9,
2/13/2023,255.7,
2/14/2023,261.2,
2/15/2023,257.7,
2/16/2023,257.7,
2/17/2023,258.4,
2/20/2023,253.1,
2/21/2023,257.9,
2/22/2023,257.8,
2/23/2023,255.8,
2/24/2023,257.7,
2/27/2023,265.8,262.7
2/28/2023,271.5,254
3/1/2023,272.5,
3/2/2023,264.4,
3/3/2023,271.2,
3/6/2023,262.7,
3/7/2023,263.8,
3/8/2023,268.4,
3/9/2023,273.6,
3/10/2023,267,
3/13/2023,274.5,
3/14/2023,271.7,255.1
3/15/2023,260.9,
3/16/2023,264.3,
3/17/2023,287.5,267.9
3/21/2023,268.6,261.7
3/22/2023,269.6,256.9
3/23/2023,272.7,
3/24/2023,262.6,262.2
3/27/2023,260,
3/28/2023,260.6,
3/29/2023,268.8,
3/30/2023,263.3,
3/31/2023,277.8,
4/3/2023,249.7,
4/4/2023,264.9,256.8
4/5/2023,251.2,
4/6/2023,254.8,
4/11/2023,264.8,253.9
4/12/2023,271,267.5
4/13/2023,277,258.1
